origin,category,bundle,filename,node_title,anchor,node_created,file_created,pdf_created,current_published_at,proposed,rule,source,would_move,fetch,outcome,trust,url
attachment,minor_gap,events,Agenda.pdf,Webinar on Health and Environment: Towards Greening Post COV,,2020-05-28T09:12:33+00:00,2020-06-09T09:53:43+00:00,2020-06-09T15:23:28+00:00,2020-05-28 09:12:33,2020-05-28T09:12:33+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2020-06/Agenda_0.pdf
attachment,minor_gap,ongoing_projects,Programme LEAD_Guidelines (1).pdf,"Programme LEAD (Leadership for Environment, Awareness and De",,2023-04-10T08:52:07+00:00,2023-04-18T05:41:09+00:00,2023-04-17T12:46:59+00:00,2023-04-10 08:52:07,2023-04-10T08:52:07+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2023-04/Programme%20LEAD_Guidelines%20%281%29.pdf
attachment,minor_gap,ongoing_projects,hub-brochure.pdf,TERI Coastal Education Hub,,2019-02-25T08:22:56+00:00,2019-02-27T11:27:00+00:00,2019-02-27T16:43:16+00:00,2019-02-25 08:22:56,2019-02-25T08:22:56+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2019-02/hub-brochure.pdf
attachment,minor_gap,events,CEM Event Report.pdf,"Panel Discussion on ""An Economy-wide Quantified Goal on Ener",,2023-07-12T08:05:52+00:00,2023-09-01T04:17:58+00:00,2023-08-31T12:36:16+00:00,2023-07-12 08:05:52,2023-07-12T08:05:52+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2023-09/CEM%20Event%20Report.pdf
attachment,minor_gap,policy_brief,Environmental Governance.pdf,Discussion Paper: Restructuring the Environmental Governance,,2017-10-30T12:21:00+00:00,2018-07-10T09:36:31+00:00,2017-10-26T14:37:47+00:00,2017-10-30 12:21:00,2017-10-30T12:21:00+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2018-07/Environmental%20Governance.pdf
attachment,minor_gap,events,Agenda & Concept Note-WSDS_R3V1_030325.pdf,WSDS 2025 Thematic Track - Sustaining Change: Public-Private,,2025-02-25T08:22:00+00:00,2025-03-10T10:55:59+00:00,2025-03-03T16:35:31+00:00,2025-02-25 08:22:00,2025-02-25T08:22:00+00:00,default,node_created,False,ok,default,both_match,/sites/default/files/2025-03/Agenda%20%26%20Concept%20Note-WSDS_R3V1_030325.pdf
attachment,minor_gap,events,Final Agenda_CEO Forum 2025 at WSDS_06March2025.pdf,CEO Forum at WSDS 2025,,2025-01-16T06:42:11+00:00,2025-07-29T11:10:05+00:00,2025-03-06T13:54:48+00:00,2025-01-16 06:42:11,2025-01-16T06:42:11+00:00,default,node_created,False,ok,default,both_match,/sites/default/files/2025-07/Final%20Agenda_CEO%20Forum%202025%20at%20WSDS_06March2025.pdf
attachment,minor_gap,completed_projects,Project_Report.pdf,India's case study on Just Transition,,2021-02-11T11:49:33+00:00,2021-04-01T08:44:47+00:00,2021-03-26T16:02:09+00:00,2021-02-11 11:49:33,2021-02-11T11:49:33+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2021-04/Project_Report.pdf
attachment,minor_gap,events,3rd Water Sustainability Awards Ceremony.pdf,Water Sustainability Awards 2023-24,,2024-03-15T10:59:29+00:00,2024-03-20T05:42:48+00:00,2024-03-20T10:44:21+00:00,2024-03-15 10:59:29,2024-03-15T10:59:29+00:00,default,node_created,False,ok,default,neither_matches,/sites/default/files/2024-03/3rd%20Water%20Sustainability%20Awards%20Ceremony.pdf
attachment,minor_gap,events,WSDS_CR_Agenda.pdf,"Curtain Raiser Event to WSDS 2022: Sustainable, Equitable an",,2021-05-27T04:40:17+00:00,2021-06-04T04:44:35+00:00,2021-06-03T10:25:23+00:00,2021-05-27 04:40:17,2021-05-27T04:40:17+00:00,default,node_created,False,ok,default,neither_matches,/sites/default/files/2021-06/WSDS_CR_Agenda.pdf
attachment,minor_gap,events,Background NoteT_Thematic_Track_LiFE_250225.pdf,WSDS 2025 Thematic Track - Growth of Per Capita Energy Consu,,2025-02-10T10:01:21+00:00,2025-02-25T07:06:10+00:00,2025-02-25T11:36:28+00:00,2025-02-10 10:01:21,2025-02-10T10:01:21+00:00,default,node_created,False,ok,default,both_match,/sites/default/files/2025-02/Background%20NoteT_Thematic_Track_LiFE_250225.pdf
attachment,minor_gap,events,Roadmap for India's Energy Transition in the Transport Sector.pdf,Global Sustainability Summit 2025: TERI Reveals Pathways to ,,2025-08-08T06:59:33+00:00,2025-08-29T04:48:50+00:00,2024-11-21T23:19:23+00:00,2025-08-08 06:59:33,2025-08-08T06:59:33+00:00,default,node_created,False,ok,default,both_match,/sites/default/files/2025-08/Roadmap%20for%20India%27s%20Energy%20Transition%20in%20the%20Transport%20Sector.pdf
attachment,minor_gap,events,2. India's enhanced role in North-South partnership on faster solar energy transition.pdf,Private Sector Pavilion at International Solar Festival pres,,2024-08-06T05:26:20+00:00,2024-09-25T10:30:34+00:00,2024-09-05T10:42:21+00:00,2024-08-06 05:26:20,2024-08-06T05:26:20+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2024-09/2.%20India%27s%20enhanced%20role%20in%20North-South%20partnership%20on%20faster%20solar%20energy%20transition.pdf
attachment,minor_gap,events,Concept Note_1.pdf,WSDS 2025 Thematic Track: Beyond Blueprints: Reimagining Cli,,2025-02-10T09:26:58+00:00,2025-02-27T12:04:27+00:00,2025-02-19T13:42:36+00:00,2025-02-10 09:26:58,2025-02-10T09:26:58+00:00,default,node_created,False,ok,default,both_match,/sites/default/files/2025-02/Concept%20Note_1.pdf
attachment,minor_gap,ongoing_projects,Assessing the Environmental Sustainability Report (1).pdf,Preparing End-of-Life Disposal Protocol for Woven Jute / Pol,,2023-08-09T06:54:12+00:00,2023-09-04T06:51:18+00:00,2023-08-25T15:18:33+00:00,2023-08-09 06:54:12,2023-08-09T06:54:12+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2023-09/Assessing%20the%20Environmental%20Sustainability%20Report%20%281%29.pdf
attachment,minor_gap,events,Agenda_Training Schedule_One-Day Experiential Learning.pdf,Experiential Learning Session for Sustainability Professiona,,2024-09-18T10:47:32+00:00,2025-05-15T07:03:34+00:00,2024-08-30T16:36:00+00:00,2024-09-18 10:47:32,2024-09-18T10:47:32+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2025-05/Agenda_Training%20Schedule_One-Day%20Experiential%20Learning.pdf
attachment,minor_gap,article,Mandira and Vatsala Terragreen 2024.pdf,Impact of Nature-based Innovative Biofertilizers on Agricult,,2024-04-10T11:40:29+00:00,2024-12-03T11:43:16+00:00,,2024-04-10 11:40:29,2024-04-10T11:40:29+00:00,default,node_created,False,ok,insufficient_evidence,both_match,/sites/default/files/2024-12/Mandira%20and%20Vatsala%20Terragreen%202024.pdf
attachment,minor_gap,policy_brief,aligning-Indias-sanitation-policy-with-the-SDGs.pdf,Discussion Paper: Aligning India's Sanitation Policies with ,,2020-01-31T12:08:51+00:00,2020-03-09T09:47:54+00:00,2020-02-26T20:15:43+00:00,2020-01-31 12:08:51,2020-01-31T12:08:51+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2020-03/aligning-Indias-sanitation-policy-with-the-SDGs.pdf
attachment,minor_gap,events,Event Report_EE Media_Workshop.pdf,Shaping the Discourse: Effective Energy Efficiency Storytell,,2023-06-13T05:25:36+00:00,2023-09-01T04:15:27+00:00,2023-08-31T18:21:15+00:00,2023-06-13 05:25:36,2023-06-13T05:25:36+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2023-09/Event%20Report_EE%20Media_Workshop.pdf
attachment,minor_gap,completed_projects,Used Beverage Cartons Management Study – 2022 (1).pdf,Used Beverage Cartons Management Study,,2023-12-13T11:22:20+00:00,2023-12-20T11:32:22+00:00,2023-12-19T15:31:10+00:00,2023-12-13 11:22:20,2023-12-13T11:22:20+00:00,default,node_created,False,ok,default,neither_matches,/sites/default/files/2023-12/Used%20Beverage%20Cartons%20Management%20Study%20%E2%80%93%202022%20%281%29.pdf
attachment,minor_gap,completed_projects,Socio-environmental De-Risking Instruments for-solar-power-in-India.pdf,De-Risking Investment in Solar Energy,,2021-12-07T12:35:57+00:00,2021-12-10T12:23:10+00:00,2021-12-10T17:23:23+00:00,2021-12-07 12:35:57,2021-12-07T12:35:57+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2021-12/Socio-environmental%20De-Risking%20Instruments%20for-solar-power-in-India.pdf
attachment,minor_gap,completed_projects,Assessment_of_air_quality_during lockdowns_in_Delhi.pdf,Developing Strategies for Control of Air Pollution in India ,,2020-02-11T11:16:13+00:00,2021-02-02T07:14:37+00:00,2021-02-01T16:48:13+00:00,2020-02-11 11:16:13,2020-02-11T11:16:13+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2021-02/Assessment_of_air_quality_during%20lockdowns_in_Delhi.pdf
attachment,minor_gap,events,Agenda.pdf,"Workshop on ""Research Data Management Tools and Techniques""",,2018-11-20T04:54:36+00:00,2019-01-04T10:41:53+00:00,2019-01-04T16:10:43+00:00,2018-11-20 04:54:36,2018-11-20T04:54:36+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2019-01/Agenda_0.pdf
attachment,minor_gap,events,Agenda_TERI_Act4Earth (2).pdf,Synergies Between Climate Action and SDGs: Implications for ,,2024-05-15T05:46:47+00:00,2024-05-22T05:50:43+00:00,2024-05-22T11:15:59+00:00,2024-05-15 05:46:47,2024-05-15T05:46:47+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2024-05/Agenda_TERI_Act4Earth%20%282%29.pdf
attachment,minor_gap,completed_projects,Used beverage carton (UBC) management study for India.pdf,Used Beverage Carton management study for India,,2019-09-12T08:59:06+00:00,2019-09-17T04:55:42+00:00,2019-09-16T19:06:31+00:00,2019-09-12 08:59:06,2019-09-12T08:59:06+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2019-09/Used%20beverage%20carton%20%28UBC%29%20management%20study%20for%20India.pdf
attachment,minor_gap,events,Agenda.pdf,WSDS 2026 Thematic Track: The Next Solar Frontier: Circulari,,2026-02-09T05:46:01+00:00,2026-02-21T11:35:49+00:00,2026-02-20T14:56:12+00:00,2026-02-09 05:46:01,2026-02-09T05:46:01+00:00,default,node_created,False,ok,default,both_match,/sites/default/files/2026-02/Agenda.pdf
